dexy - INFO - starting logging for dexy
dexy - INFO - (state:running) 40de5e51ec8adaa7db261da6aa410cf4 doc:node_modules/grunt/node_modules/glob/test/zz-cleanup.js: running...
dexy - INFO - (state:running) 373bc9fa0550818b11afa5464e2c7e5b doc:node_modules/grunt/node_modules/js-yaml/node_modules/esprima/test/test.js: running...
dexy - INFO - (state:running) 93777d4969cf96f128c7c81a9462d7e9 doc:node_modules/grunt/node_modules/lodash/vendor/tar/vendor/fstream/fstream.js: running...
dexy - INFO - (state:running) 68f85c044d2ab6a56a9ecbd8c7349a3b doc:node_modules/grunt/node_modules/underscore.string/test/test_underscore/speed.js: running...
dexy - INFO - (state:running) 4b203cee9a1125e63c40c3d4ec88e363 doc:node_modules/grunt/node_modules/glob/test/mark.js: running...
dexy - INFO - (state:running) 67cbd878ce12235e2ca6f95e6fed81ed doc:node_modules/grunt/node_modules/underscore.string/test/test_underscore/arrays.js: running...
dexy - INFO - (state:running) a25b4eeed3cbf51b0fd6d063f06b758e doc:node_modules/grunt/node_modules/lodash/vendor/tar/vendor/block-stream/block-stream.js: running...
dexy - INFO - (state:running) a57f3e5288b15b7027a5e3b0131a1b96 doc:node_modules/grunt-contrib-watch/node_modules/tiny-lr-fork/node_modules/faye-websocket/spec/faye/websocket/hybi_parser_spec.js: running...
dexy - INFO - (state:running) bb42b06de7d3f6c0c1ead853ed2d0bb5 doc:node_modules/grunt/node_modules/findup-sync/node_modules/glob/node_modules/minimatch/test/brace-expand.js: running...
dexy - INFO - (state:running) fc074b244871aecd247e4b4e30df0d49 doc:node_modules/grunt-contrib-watch/node_modules/gaze/node_modules/globule/Gruntfile.js: running...
dexy - INFO - (state:running) 2f14b8e4af06d71e511300618055d389 doc:node_modules/grunt/node_modules/js-yaml/lib/js-yaml/type/seq.js: running...
dexy - INFO - (state:running) f55350a535206e02a9adf503d4e5ab6f doc:node_modules/grunt/node_modules/findup-sync/test/findup-sync_test.js: running...
dexy - INFO - (state:running) b29a3d7f6a16ac2663e984508e19965f doc:node_modules/grunt-contrib-watch/node_modules/gaze/node_modules/globule/node_modules/glob/test/00-setup.js: running...
dexy - INFO - (state:running) 32254a68abba2441cc032e970f2eba47 doc:node_modules/grunt/node_modules/grunt-legacy-log/node_modules/underscore.string/test/run-qunit.js: running...
dexy - INFO - (state:running) d50bc8a14dd21c3a9cf8db4da4151aab doc:node_modules/grunt/node_modules/js-yaml/node_modules/argparse/node_modules/underscore.string/test/test_underscore/chaining.js: running...
dexy - INFO - (state:running) 7fbb07a4de18db3a4f6b70c572e3d929 doc:node_modules/grunt-contrib-watch/node_modules/lodash/dist/lodash.underscore.min.js: running...
dexy - INFO - (state:running) 466bb2ac0122be180448c235bbd3056e doc:node_modules/grunt/node_modules/underscore.string/lib/underscore.string.js: running...
dexy - INFO - (state:running) 2a9c649482ea46feb28cd49bdf52297f doc:node_modules/grunt-contrib-watch/node_modules/gaze/node_modules/globule/node_modules/lodash/vendor/qunit/qunit/qunit.js: running...
dexy - INFO - (state:running) 18c04e9bdf3223af2c6a475fe7ce667d doc:node_modules/grunt/node_modules/js-yaml/node_modules/argparse/lib/action/store.js: running...
dexy - INFO - (state:running) eaf3ed01b1f86921132e77c1dacecfdd doc:node_modules/grunt/node_modules/findup-sync/node_modules/glob/node_modules/inherits/test.js: running...
dexy - INFO - (state:running) 1c036f8f448a029b9830be135a3f9934 doc:node_modules/grunt/node_modules/minimatch/test/caching.js: running...
dexy - INFO - (state:running) c163ac4a034cdfadcdb5c83b9d258d66 doc:node_modules/grunt/node_modules/glob/glob.js: running...
dexy - INFO - (state:running) 9e7988afca9a6dde3b2ad6d24c8657fd doc:node_modules/grunt-contrib-watch/node_modules/gaze/node_modules/globule/node_modules/lodash/perf/perf.js: running...
dexy - INFO - (state:running) 008a59ff532f85206b342bd6a345753a doc:node_modules/grunt/lib/grunt/option.js: running...
dexy - INFO - (state:running) fa9c2d07e20a735ff3e53fff56cf05bf doc:node_modules/grunt-contrib-watch/node_modules/gaze/node_modules/globule/node_modules/lodash/vendor/tar/vendor/fstream/lib/abstract.js: running...
dexy - INFO - (state:running) 98f1101e102cc9dca9e29c503d0d26b8 doc:node_modules/grunt/node_modules/js-yaml/node_modules/argparse/node_modules/underscore.string/test/test_underscore/utility.js: running...
dexy - INFO - (state:running) e352a2444cc1a381a4f2cd87c481b4c2 doc:node_modules/grunt/node_modules/js-yaml/node_modules/argparse/node_modules/underscore.string/test/test_underscore/vendor/jslitmus.js: running...
dexy - INFO - (state:running) 533673e0830515cc45ef658934655159 doc:node_modules/grunt-contrib-watch/node_modules/gaze/node_modules/globule/node_modules/minimatch/node_modules/lru-cache/test/foreach.js: running...
dexy - INFO - (state:running) e43a164b893eba86b80853b1affc0891 doc:node_modules/grunt/node_modules/iconv-lite/test/greek-test.js: running...
dexy - INFO - (state:running) 33faf14860a9b0a2f0c0cae6acd54c12 doc:node_modules/grunt/node_modules/findup-sync/node_modules/lodash/dist/lodash.min.js: running...
